scenario_id,scenario_type,agent,path_found,raw_energy,raw_payload_integrity,raw_safety,raw_time
S1_DynamicWind,dynamic_wind,StaticAgent,True,170.2817,1,3.9713,59.7062
S1_DynamicWind,dynamic_wind,SYNAPSEAgent,True,122.3159,1,1.2429,61.4993
